timestamp,method,Problem,MSE_test,MSE_sur,MSE_clip,MSE_clip (improvement),MSE_xy_shift,MSE_xy_shift (improvement),MSE_x_shift,MSE_x_shift (improvement),MSE_y_shift,MSE_y_shift (improvement),MSE_no_clip,MSE_no_clip (improvement),IGD+_real,IGD+_sur,IGD+_clip,IGD+_clip (improvement),IGD+_xy_shift,IGD+_xy_shift (improvement),IGD+_x_shift,IGD+_x_shift (improvement),IGD+_y_shift,IGD+_y_shift (improvement),IGD+_no_clip,IGD+_no_clip (improvement),HV_sur,HV_real,HV_clip,HV_clip (improvement),HV_xy_shift,HV_xy_shift (improvement),HV_x_shift,HV_x_shift (improvement),HV_y_shift,HV_y_shift (improvement),HV_no_clip,HV_no_clip (improvement),pvalue_HV_xy_shift_vs_HV_sur
2026-07-05T20:02:41+01:00,Autogluon_QR+MOEAD,dtlz5,2.178e-02±3.469e-18,2.995e-02±1.534e-02,2.995e-02±1.534e-02,0.0±0.0%,2.448e-02±1.261e-02,18.2±7.1%,2.492e-02±1.316e-02,17.0±9.9%,2.418e-02±1.242e-02,19.1±6.8%,2.448e-02±1.261e-02,18.2±7.1%,2.187e-01±6.096e-02,4.363e-01±3.208e-02,4.363e-01±3.208e-02,0.0±0.0%,4.055e-01±3.505e-02,7.1±2.5%,4.072e-01±3.756e-02,6.8±3.4%,4.039e-01±3.381e-02,7.5±2.3%,4.055e-01±3.505e-02,7.1±2.5%,0.917±0.012,1.016±0.023,0.917±0.012,0.0±0.0%,0.939±0.015,22.8±9.1%,0.937±0.017,21.8±11.3%,0.940±0.015,23.8±8.4%,0.939±0.015,22.8±9.1%,0.000
2026-07-05T20:21:03+01:00,Autogluon_QR+SMS-EMOA,dtlz5,2.178e-02±3.469e-18,2.656e-02±3.792e-03,2.656e-02±3.792e-03,0.0±0.0%,1.883e-02±2.953e-03,29.2±2.5%,1.883e-02±2.953e-03,29.2±2.5%,1.883e-02±2.953e-03,29.2±2.5%,1.883e-02±2.953e-03,29.2±2.5%,1.453e-01±1.608e-02,3.887e-01±6.095e-04,3.887e-01±6.095e-04,0.0±0.0%,3.440e-01±2.591e-03,11.5±0.7%,3.440e-01±2.591e-03,11.5±0.7%,3.440e-01±2.591e-03,11.5±0.7%,3.440e-01±2.591e-03,11.5±0.7%,0.949±0.000,1.054±0.006,0.949±0.000,0.0±0.0%,0.981±0.002,31.0±2.4%,0.981±0.002,31.0±2.4%,0.981±0.002,31.0±2.4%,0.981±0.002,31.2±2.6%,0.000
2026-07-05T20:45:48+01:00,Autogluon_QR+NSGA-II,dtlz6,6.843e-02±1.388e-17,2.797e-01±5.205e-02,2.797e-01±5.205e-02,0.0±0.0%,2.581e-01±4.762e-02,7.5±4.7%,2.523e-01±4.064e-02,9.4±2.6%,2.606e-01±4.742e-02,6.4±8.0%,2.581e-01±4.762e-02,7.5±4.7%,6.585e+00±1.580e-01,7.113e+00±9.199e-03,7.113e+00±9.199e-03,0.0±0.0%,6.983e+00±3.159e-02,1.8±0.4%,6.969e+00±1.011e-02,2.0±0.1%,6.988e+00±4.787e-02,1.8±0.7%,6.983e+00±3.159e-02,1.8±0.4%,0.614±0.001,0.699±0.016,0.614±0.001,0.0±0.0%,0.636±0.005,26.5±7.6%,0.638±0.001,28.9±5.6%,0.635±0.007,25.2±10.2%,0.636±0.005,26.5±7.6%,0.000
2026-07-05T21:10:21+01:00,Autogluon_QR+Dual-Ranking+NSGA-II,dtlz6,6.843e-02±1.388e-17,2.572e-01±3.208e-02,2.572e-01±3.208e-02,0.0±0.0%,2.391e-01±2.332e-02,6.6±4.9%,2.373e-01±2.364e-02,7.4±3.4%,2.391e-01±2.332e-02,6.6±4.9%,2.391e-01±2.332e-02,6.6±4.9%,6.626e+00±1.221e-01,7.130e+00±1.447e-02,7.130e+00±1.447e-02,0.0±0.0%,6.997e+00±2.556e-02,1.9±0.3%,6.992e+00±1.501e-02,1.9±0.1%,6.997e+00±2.556e-02,1.9±0.3%,6.997e+00±2.556e-02,1.9±0.3%,0.611±0.001,0.690±0.014,0.611±0.001,0.0±0.0%,0.633±0.003,28.5±6.1%,0.634±0.001,29.7±5.7%,0.633±0.003,28.5±6.1%,0.633±0.003,28.5±6.1%,0.000
2026-07-05T21:35:04+01:00,Autogluon_QR+MOEAD,dtlz6,6.843e-02±1.388e-17,1.795e-01±2.793e-02,1.795e-01±2.793e-02,0.0±0.0%,1.919e-01±2.647e-02,-7.5±8.6%,1.947e-01±2.662e-02,-9.3±11.1%,1.907e-01±2.777e-02,-6.7±8.4%,1.919e-01±2.647e-02,-7.5±8.6%,7.008e+00±1.670e-01,7.163e+00±2.456e-02,7.163e+00±2.456e-02,0.0±0.0%,7.061e+00±6.314e-02,1.4±0.7%,7.078e+00±8.745e-02,1.2±1.1%,7.041e+00±4.826e-02,1.7±0.4%,7.061e+00±6.314e-02,1.4±0.7%,0.599±0.005,0.634±0.020,0.599±0.005,0.0±0.0%,0.616±0.010,-8.5±238.1%,0.613±0.014,-17.9±237.2%,0.619±0.008,1.1±240.1%,0.616±0.010,-8.5±238.1%,0.000
2026-07-05T21:59:43+01:00,Autogluon_QR+SMS-EMOA,dtlz6,6.843e-02±1.388e-17,2.962e-01±4.241e-02,2.962e-01±4.241e-02,0.0±0.0%,2.639e-01±3.125e-02,10.6±2.7%,2.639e-01±3.125e-02,10.6±2.7%,2.639e-01±3.125e-02,10.6±2.7%,2.639e-01±3.125e-02,10.6±2.7%,6.506e+00±1.244e-01,7.102e+00±7.884e-03,7.102e+00±7.884e-03,0.0±0.0%,6.951e+00±7.981e-03,2.1±0.1%,6.951e+00±7.981e-03,2.1±0.1%,6.951e+00±7.981e-03,2.1±0.1%,6.951e+00±7.981e-03,2.1±0.1%,0.617±0.001,0.710±0.013,0.617±0.001,0.0±0.0%,0.642±0.001,27.2±3.9%,0.642±0.001,27.2±3.9%,0.642±0.001,27.2±3.9%,0.642±0.001,27.2±3.9%,0.000
2026-07-05T22:16:18+01:00,Autogluon_QR+NSGA-II,dtlz7,1.200e-01±1.388e-17,3.144e+00±3.543e-01,3.144e+00±3.543e-01,0.0±0.0%,2.907e+00±3.322e-01,7.6±0.9%,2.907e+00±3.322e-01,7.6±0.9%,2.907e+00±3.322e-01,7.6±0.9%,2.907e+00±3.322e-01,7.6±0.9%,9.073e-02±6.703e-02,3.844e+00±1.112e-03,3.844e+00±1.112e-03,0.0±0.0%,3.723e+00±1.588e-02,3.1±0.4%,3.723e+00±1.581e-02,3.1±0.4%,3.723e+00±1.592e-02,3.1±0.4%,3.723e+00±1.588e-02,3.1±0.4%,0.958±0.000,1.100±0.004,0.958±0.000,0.0±0.0%,0.962±0.002,2.2±1.2%,0.961±0.002,1.5±1.1%,0.962±0.002,2.7±1.7%,0.962±0.002,2.2±1.2%,0.000
2026-07-05T22:32:33+01:00,Autogluon_QR+Dual-Ranking+NSGA-II,dtlz7,1.200e-01±1.388e-17,3.391e+00±6.536e-01,3.391e+00±6.536e-01,0.0±0.0%,3.189e+00±6.240e-01,6.0±0.9%,3.189e+00±6.240e-01,6.0±0.9%,3.189e+00±6.240e-01,6.0±0.9%,3.189e+00±6.240e-01,6.0±0.9%,1.094e-01±7.748e-02,3.844e+00±1.427e-03,3.844e+00±1.427e-03,0.0±0.0%,3.743e+00±1.368e-02,2.6±0.3%,3.743e+00±1.367e-02,2.6±0.3%,3.743e+00±1.369e-02,2.6±0.3%,3.743e+00±1.368e-02,2.6±0.3%,0.958±0.000,1.098±0.005,0.958±0.000,0.0±0.0%,0.959±0.001,0.6±1.0%,0.959±0.001,0.4±0.9%,0.959±0.002,0.7±1.2%,0.959±0.001,0.6±1.0%,0.000
2026-07-05T22:48:42+01:00,Autogluon_QR+MOEAD,dtlz7,1.200e-01±1.388e-17,5.533e+00±8.337e-01,5.533e+00±8.337e-01,0.0±0.0%,5.811e+00±8.156e-01,-5.3±2.3%,5.811e+00±8.156e-01,-5.3±2.3%,5.811e+00±8.156e-01,-5.3±2.3%,5.811e+00±8.156e-01,-5.3±2.3%,3.035e-01±2.194e-01,3.882e+00±6.230e-02,3.882e+00±6.230e-02,0.0±0.0%,3.967e+00±6.763e-02,-2.2±0.7%,3.967e+00±6.763e-02,-2.2±0.7%,3.967e+00±6.763e-02,-2.2±0.7%,3.967e+00±6.763e-02,-2.2±0.7%,0.945±0.003,1.083±0.011,0.945±0.003,0.0±0.0%,0.939±0.003,-4.3±1.0%,0.939±0.003,-4.3±1.0%,0.939±0.003,-4.3±1.0%,0.939±0.003,-4.3±1.0%,0.000
2026-07-05T23:05:00+01:00,Autogluon_QR+SMS-EMOA,dtlz7,1.200e-01±1.388e-17,2.594e+00±3.090e-01,2.594e+00±3.090e-01,0.0±0.0%,2.399e+00±2.983e-01,7.6±1.3%,2.399e+00±2.983e-01,7.6±1.3%,2.399e+00±2.983e-01,7.6±1.3%,2.399e+00±2.983e-01,7.6±1.3%,2.457e-01±9.757e-02,3.845e+00±2.086e-03,3.845e+00±2.086e-03,0.0±0.0%,3.742e+00±1.705e-02,2.7±0.4%,3.742e+00±1.705e-02,2.7±0.4%,3.742e+00±1.705e-02,2.7±0.4%,3.742e+00±1.705e-02,2.7±0.4%,0.958±0.000,1.091±0.006,0.958±0.000,0.0±0.0%,0.959±0.001,0.9±0.5%,0.959±0.001,0.9±0.4%,0.959±0.001,1.0±0.8%,0.959±0.001,0.9±0.5%,0.000
